YearsExperience,Salary
4.5,51266.11
1.8,44004.85
12.2,95023.63
13.9,112360.48
1.3,42072.94
10.7,81366.49
5.3,67837.86
13.3,98862.29
4.3,60114.46
14.1,110488.3
8.3,90355.47
18.8,131612.27
3.6,47005.47
7.5,71094.64
3.2,45174.56
18.6,138699.54
17.7,114419.52
5.9,54020.54
13.5,95707.58
16.5,128352.46
11.5,106934.91
11.1,90214.41
5.6,59449.43
2.8,45960.42
18.0,138295.03
18.1,122131.17
13.0,103406.95
7.4,78501.58
7.6,75808.75
14.8,112916.65
18.0,137008.37
17.9,106824.14
15.8,122323.0
13.2,97367.39
2.6,29654.94
4.1,56639.62
18.1,140539.27
12.5,97650.41
1.2,44223.0
2.9,58848.23
13.6,115319.32
1.1,49169.72
4.1,58487.02
11.4,93303.47
14.1,94734.27
13.4,101731.5
5.3,52404.03
14.5,127117.54
5.5,58842.91
7.2,70585.64
15.2,118011.88
13.3,103498.82
17.1,137610.41
13.5,99268.81
11.8,96456.86
2.8,39460.24
8.0,63439.82
6.0,58105.85
5.6,60503.71
19.5,133815.58
8.5,71210.63
17.9,117199.46
13.0,100835.16
16.1,106512.24
10.6,94380.45
12.0,96659.52
10.4,75539.59
4.7,53376.33
14.7,104832.75
6.3,67203.4
1.5,48973.6
13.3,88148.62
4.4,55120.21
18.9,132668.94
19.1,140420.72
18.4,132905.57
8.0,67984.25
1.3,34597.57
18.6,125931.79
9.1,88658.06
19.4,136870.49
19.3,151359.53
17.2,124114.71
6.6,60632.75
8.3,63540.28
17.2,110174.88
7.0,55826.91
4.2,55237.01
11.6,97869.8
18.8,120750.47
14.2,115260.31
11.8,91035.51
2.8,46574.34
12.7,112747.77
19.8,146074.71
3.7,48201.75
10.8,82270.46
17.7,110135.48
15.1,107296.77
14.2,106410.96
14.3,100752.56
7.8,71849.94
6.6,66914.82
16.4,118401.15
16.4,114999.98
17.5,127599.24
18.4,134735.53
10.7,80126.81
10.5,99037.46
16.2,118311.29
13.3,103300.8
14.3,114315.72
16.1,120415.73
17.9,136075.09
7.4,72996.99
8.1,69650.5
2.8,48292.03
12.0,86850.19
1.7,40218.48
9.8,83634.16
11.3,90485.07
6.4,64171.7
12.2,82045.21
1.6,34410.2
1.7,40092.76
16.6,122578.85
7.8,64678.6
3.4,58825.66
10.9,83020.6
15.6,123555.66
5.1,61467.55
12.8,95230.18
2.6,58502.49
2.0,31450.91
11.1,98403.23
11.3,100154.66
13.1,96685.04
14.8,122539.72
19.5,135249.63
10.8,91709.55
7.1,71132.57
16.1,117475.53
6.1,70036.47
9.3,87497.91
2.5,29761.74
1.5,48684.72
19.3,122850.06
16.9,131210.37
14.2,117113.64
8.8,69672.27
4.3,50363.49
4.0,43154.36
5.8,60180.63
11.4,90235.73
14.6,116537.28
13.5,114732.47
6.3,75815.47
19.1,130552.66
15.0,110826.23
11.5,79782.49
12.6,92853.04
9.0,87218.81
5.7,74274.66
7.8,63025.21
15.4,109960.29
1.3,36938.75
3.2,49841.29
1.9,33973.17
1.8,43292.49
17.3,121359.29
14.4,109084.38
10.0,89370.27
2.9,46001.38
10.3,83158.91
10.0,84123.12
4.3,52943.1
9.2,77639.91
8.6,75229.63
12.7,112639.18
13.1,106537.36
1.9,38086.16
8.1,80125.64
12.9,98279.44
10.6,97685.0
17.3,128107.14
13.5,103391.58
4.1,56131.74
2.3,30082.99
13.2,93585.86
1.5,28698.6
12.1,97693.54
18.9,147810.12
11.9,113300.4
8.4,81304.41
13.2,106606.76
9.7,68941.54
11.4,88358.61
18.9,127647.73
8.3,70683.22
19.3,134804.85
18.2,126323.28
4.7,40015.6
2.3,48633.28
2.9,37368.06
1.3,39063.97
2.8,61992.66
14.0,99644.92
2.4,22957.7
7.1,66761.97
17.1,132857.68
1.4,53366.78
16.5,110913.6
6.4,69173.59
3.2,43877.52
14.2,107252.41
12.9,122104.75
17.7,115326.24
15.0,114529.92
16.3,123391.55
6.4,73886.29
4.4,54983.87
15.3,116614.4
16.3,116516.81
19.8,141053.02
8.8,75654.46
8.1,79522.58
15.8,113943.12
7.5,74266.8
18.7,132615.9
17.3,134158.4
9.2,80188.85
15.3,99965.74
15.3,124245.37
3.0,39254.14
18.1,124319.87
10.6,83534.71
16.7,132845.5
7.1,51964.61
18.0,154101.99
8.4,84648.45
1.2,38385.91
18.2,129660.85
2.7,47134.43
7.1,73218.98
19.1,140211.72
19.1,139494.84
11.9,96166.65
13.0,99921.29
9.5,81039.81
6.6,64740.73
7.2,78670.16
13.8,110648.45
15.3,90626.89
16.0,123247.21
16.0,119557.89
2.7,44700.33
10.4,84091.85
2.1,50542.9
11.4,100280.21
9.4,75516.98
17.9,131706.42
7.7,64576.75
3.2,36563.05
3.7,45336.26
15.5,122149.15
12.7,107475.0
2.9,50054.68
2.6,50100.77
14.3,112779.43
2.4,38068.15
16.6,124755.38
14.4,115603.28
2.5,49784.33
2.6,53811.31
19.7,144016.43
8.1,77361.59
8.0,82561.2
16.4,119987.83
19.0,127445.0
19.7,137045.46
15.3,108190.78
8.1,69148.57
2.6,43143.85
15.8,110560.64
11.6,91336.31
9.1,64901.08
18.2,131806.35
3.1,47059.64
10.4,80663.29
1.2,41873.97
9.9,91950.56
2.1,28689.52
3.3,42048.2
3.2,41446.86
13.3,95630.78
15.2,120235.8
12.1,94999.39
19.3,134033.88
8.1,58519.1
6.4,70283.34
17.5,116335.93
5.2,59079.46
19.3,138369.02
1.2,47485.27
19.4,126229.44
1.8,15743.9
17.9,129920.8
11.0,104904.09
19.9,149361.57
2.4,44877.28
11.5,89316.91
19.4,143156.98
10.9,82161.63
13.0,105310.86
14.2,112143.76
9.6,91281.68
12.9,123027.28
12.1,99689.33
18.1,125478.29
1.9,40245.41
6.3,50497.39
19.1,129492.29
17.9,125175.74
9.7,79157.29
12.8,101618.84
6.3,58070.64
4.6,64268.25
9.8,83901.66
7.7,72275.6
12.1,93926.84
2.5,44991.53
19.5,143850.79
19.7,131412.96
14.3,103385.07
11.2,89170.19
6.9,57183.03
16.5,114195.94
14.0,103190.23
4.1,59545.11
18.3,132750.49
16.6,122848.72
19.0,141307.18
14.8,110301.03
12.7,102973.72
8.9,78124.23
18.7,134972.9
17.5,121587.93
1.9,20939.46
1.5,37175.77
8.2,86481.99
16.4,127609.72
19.8,146623.18
3.9,61339.05
12.3,98359.26
8.2,76678.53
19.4,131758.78
17.0,120971.42
16.9,127876.17
9.9,94081.08
8.9,77834.43
6.2,60498.49
2.1,41554.22
17.4,130509.65
16.4,108649.16
20.0,121630.55
19.9,135045.71
11.6,84034.3
15.6,111734.88
19.0,133317.76
17.1,120424.01
5.7,72969.74
9.6,85413.96
3.5,51653.79
19.1,140027.66
12.5,89639.34
5.3,67462.89
13.8,105293.89
12.7,105213.84
7.8,64325.14
3.2,35169.93
13.8,112443.12
10.9,92961.28
15.7,109133.59
10.9,82992.7
17.2,133603.48
11.5,83734.7
11.7,107491.38
17.7,120145.03
8.7,82957.14
3.5,46621.05
1.5,43075.5
15.3,109797.09
12.8,99097.66
14.4,109527.35
5.0,49482.5
3.6,55726.59
1.3,33044.29
7.7,70521.2
12.2,89145.21
8.5,56251.33
9.3,79621.78
18.2,149400.92
7.6,78076.83
10.8,89245.92
15.9,115346.87
8.5,76929.73
12.8,104776.95
17.4,116253.5
19.0,143414.57
3.8,56623.05
18.6,138045.49
10.4,90707.81
5.9,62606.93
9.7,88732.89
19.6,142534.51
10.4,84367.67
7.2,65011.19
13.0,102314.85
5.6,73192.16
2.4,33287.14
3.4,36959.8
3.4,50018.09
3.9,51857.1
3.6,51186.73
13.2,104551.63
4.5,52964.38
7.6,83718.91
18.0,116192.77
10.0,78372.02
13.7,104523.96
4.3,40504.49
4.7,54443.16
1.8,53191.76
4.2,53267.09
6.3,66495.61
4.4,44118.68
2.7,39919.11
3.3,45148.43
9.8,81358.28
4.9,67203.15
7.9,77911.53
10.6,79408.34
14.1,109522.04
1.7,43335.77
16.2,128221.19
12.9,113594.33
2.6,36179.25
17.6,120313.14
18.5,121689.38
2.2,40227.84
6.3,68380.87
16.3,127548.68
15.2,112992.39
4.5,52191.22
5.0,58714.06
8.0,67318.86
10.2,102816.31
12.7,86988.71
8.0,75477.92
9.8,100088.85
15.2,113654.4
1.7,37829.69
5.8,59040.44
14.6,108856.87
18.0,139982.79
10.7,71155.1
11.1,103317.47
3.0,35108.34
9.5,80116.78
11.1,87616.04
5.6,65508.43
6.1,50765.01
8.2,78797.38
1.4,53894.48
7.1,58144.61
5.0,59017.65
7.2,64304.14
3.3,51557.1
17.9,128603.18
12.3,92518.1
13.9,110352.98
16.0,132434.78
10.5,86222.77
2.7,50608.06
11.2,81253.82
12.1,88898.51
15.2,117379.25
9.2,92472.93
3.4,51544.91
6.4,62695.54
7.9,73444.33
13.3,93146.74
11.8,99736.12
7.8,79958.66
19.7,134733.28
12.5,94989.66
5.5,62377.03
2.9,42456.24
3.9,50920.94
5.7,78147.77
4.1,50573.79
4.5,51883.28
6.4,60019.67
4.3,59603.54
18.0,127550.21
2.5,38555.02
11.0,101070.43
8.8,89756.82
19.7,133546.61
3.1,32117.68
8.6,85360.11
19.4,131222.96
17.4,132025.0
16.5,104989.17
5.9,69590.78
4.2,43410.62
13.7,111196.11
18.7,132964.18
11.6,86168.48
11.9,92193.71
6.3,70140.55
15.6,116647.16
4.6,59975.3
7.1,84861.52
9.1,67536.07
10.6,101237.7
5.6,61634.85
3.2,40409.73
12.6,88657.49
6.5,64237.04
12.0,103373.2
3.9,50429.61
10.1,97639.24
11.1,79440.59
2.0,40903.29
7.4,60680.85
3.6,52709.06
2.2,49195.1
19.8,135533.91
7.1,48216.29
16.4,121791.59
5.8,65393.91
13.9,109684.36
15.4,124586.26
12.3,89081.57
10.0,90441.73
8.8,87940.06
7.6,57571.3
18.7,135407.21
16.8,118366.56
19.3,135497.82
3.4,51481.41
14.9,108052.17
18.8,127994.34
4.4,54473.22
2.3,33952.03
15.1,104363.4
11.9,100884.99
17.0,114309.65
3.7,55680.5
16.1,122250.73
4.8,42593.55
4.1,47129.48
4.1,62102.88
16.5,112900.68
13.6,101084.77
10.9,93646.49
7.8,79167.12
17.7,125337.69
8.5,71969.92
16.5,132128.96
9.3,95061.2
8.2,82930.86
9.8,84582.55
6.7,60383.87
15.2,106956.44
10.6,92480.11
5.4,63047.19
18.1,140762.79
8.3,80853.6
11.3,80125.36
18.2,138515.58
12.9,92965.51
3.2,44528.23
18.9,135951.6
12.9,116915.34
7.4,95579.35
3.6,54653.78
16.1,117084.43
12.8,104676.05
11.1,98151.24
18.0,126434.66
16.0,132361.69
3.9,53290.57
6.9,71931.94
5.7,66677.39
15.1,116422.69
1.6,45511.52
11.8,89961.97
15.5,110783.59
17.7,118548.77
7.5,74766.01
16.6,127531.49
3.1,50712.18
17.1,137445.94
3.4,48655.23
8.5,82099.93
16.1,109816.39
3.8,47803.2
5.4,65264.3
14.7,117642.82
14.7,108498.26
13.2,102027.21
14.2,95957.01
11.3,89293.77
5.8,69023.07
7.6,76401.64
4.5,58755.33
18.3,131048.19
12.1,96606.51
8.6,72017.43
9.8,89490.63
19.0,137867.78
3.9,55386.15
12.1,92341.72
10.6,71073.26
12.6,108077.22
1.3,33319.3
17.6,119897.79
18.7,138397.83
11.7,91213.9
14.2,116579.49
18.5,136686.05
14.4,114668.55
3.9,40522.35
11.9,105145.55
12.5,100840.0
9.1,77095.78
15.0,113647.11
18.8,119190.12
18.6,135569.22
9.6,74565.03
3.2,36778.64
19.7,126171.13
16.9,131851.51
3.4,43665.89
18.5,144019.82
17.5,121963.59
10.9,76291.14
12.2,88167.8
8.6,87186.49
2.0,39752.81
7.4,66313.7
16.3,120930.15
1.1,40064.26
7.3,79089.19
8.6,88887.99
11.2,88721.85
18.5,121141.62
7.6,68492.28
7.6,73882.24
15.0,104789.93
9.6,75142.79
5.3,61900.3
9.6,82410.78
3.7,50612.38
4.4,48132.04
10.5,85906.79
9.0,72106.13
18.4,138321.59
7.9,81731.99
12.0,81230.5
13.0,94063.91
1.2,24627.77
13.6,99599.81
4.4,53532.5
19.3,124552.84
3.8,43525.12
8.9,70918.34
2.6,45958.14
19.9,140004.75
10.5,81976.1
12.3,99064.57
2.3,38276.56
15.2,111426.76
5.0,70887.62
18.1,140273.69
4.9,46553.35
4.6,61937.86
1.7,45841.17
10.0,75813.89
11.7,100900.22
2.2,54403.46
15.7,107369.64
9.6,75459.98
11.0,98641.29
9.4,83871.96
8.6,81711.81
11.6,96524.71
3.9,54575.57
4.5,44138.22
17.4,134078.54
19.0,143856.72
8.1,72714.87
6.1,63202.18
13.2,90351.14
8.8,82514.04
1.5,42826.46
4.0,51502.47
14.6,119294.83
13.5,101577.38
1.5,42766.85
5.2,50442.69
5.4,59511.58
13.8,104505.17
1.4,39502.46
3.0,43543.78
16.2,118048.22
4.4,60808.38
13.4,100205.89
5.5,47397.38
2.9,59946.67
5.6,71851.63
14.7,100511.9
17.3,130667.66
16.8,118376.2
8.5,78857.9
13.7,107703.79
4.9,55074.74
6.6,60029.87
18.0,123475.67
1.2,29270.46
2.6,37645.42
4.9,56412.57
1.5,32523.92
4.4,59656.42
12.1,108447.97
9.0,74859.57
18.0,130915.24
16.5,124747.48
7.5,75026.02
5.9,63057.64
8.2,81041.46
12.2,100957.99
6.1,53648.7
12.9,107903.25
8.8,85498.33
11.5,87143.71
9.3,81453.5
6.6,71766.63
19.0,132825.49
15.5,123833.82
3.7,69260.98
17.5,119962.11
10.3,75601.64
18.0,131430.55
16.2,124872.5
9.1,78203.07
1.4,49326.09
6.1,52841.15
11.3,97693.35
13.0,96653.11
5.9,76205.02
3.6,65740.12
16.9,116816.75
19.7,133953.54
11.0,97376.7
4.3,50552.95
6.2,63736.71
1.3,37353.11
18.4,115842.61
3.2,47489.3
12.0,90482.18
6.2,60155.02
11.5,104799.06
13.4,93647.94
16.8,128905.64
4.9,54718.3
1.2,34361.92
3.6,56122.98
18.1,132270.41
17.6,131364.9
12.4,105945.48
12.4,95549.53
13.6,99902.11
4.3,44968.8
18.4,124596.72
9.0,103092.76
8.3,85607.44
10.9,79141.41
1.9,29870.34
4.2,56954.93
15.0,116878.12
2.6,48691.07
12.5,96710.35
5.7,60346.37
8.4,78823.04
6.5,66437.14
7.8,55145.6
14.7,109011.6
6.6,59488.75
11.8,96301.69
10.0,108882.07
13.6,107739.85
18.8,130891.76
14.9,119324.41
5.1,61911.5
1.6,42160.76
6.0,67854.8
12.3,114102.35
2.0,31952.89
10.4,90989.06
12.3,90238.95
7.4,75144.1
15.6,108450.51
3.0,43161.07
2.4,40839.28
14.8,119206.53
10.4,94547.64
14.1,97584.26
9.3,81589.47
5.7,55673.36
16.6,111231.96
16.2,117363.86
14.2,105632.14
6.2,83513.73
12.2,100563.68
7.9,62429.06
2.7,40331.81
18.4,139371.07
3.6,66507.54
19.1,122362.13
9.5,67210.6
4.5,69717.72
11.3,95266.91
17.6,119853.66
14.9,116227.03
16.3,98564.02
13.5,104277.0
14.2,110722.57
17.1,131444.16
5.7,53238.83
10.3,87335.5
5.2,51196.6
19.8,140943.07
18.9,126787.23
1.7,36085.19
14.4,101233.48
18.6,137509.09
4.4,61067.61
11.8,93023.04
18.4,131505.9
1.6,27211.27
14.3,106252.59
6.6,65898.36
18.6,153266.34
19.5,128354.26
18.9,145663.42
10.0,92974.87
17.4,127945.09
17.0,137568.96
7.1,72026.84
16.7,124963.27
1.7,38925.03
12.3,107438.55
5.4,68471.75
3.3,43144.58
2.5,33196.02
14.2,106476.15
7.5,64849.69
14.8,110891.8
2.2,51999.51
7.0,64841.59
11.3,91807.41
16.0,118464.18
7.1,75837.45
12.9,82974.89
17.8,123046.4
12.7,101540.27
5.4,69300.63
1.5,34314.78
17.5,111237.58
1.4,42657.69
17.6,121717.1
11.0,80982.67
18.8,128405.24
16.2,117623.8
20.0,135162.04
7.7,54705.47
15.6,122976.53
8.6,87499.0
10.1,90762.18
12.9,91848.51
17.6,125188.07
19.7,138297.83
15.6,120590.36
8.9,84296.72
9.0,73626.61
15.0,113155.96
5.5,63908.24
3.1,58696.58
7.7,77986.05
6.5,72062.45
6.6,66970.61
5.4,70983.67
1.8,43178.1
1.3,30261.3
19.8,150126.96
9.1,85633.23
8.3,72105.65
13.9,102614.06
5.1,60422.6
19.0,138205.48
15.9,119028.34
2.7,47340.47
8.9,92549.66
17.7,135922.35
18.9,135475.08
9.9,91980.48
12.7,91589.81
4.2,56283.42
19.8,153374.45
5.4,57955.63
18.9,127168.93
13.3,97933.29
12.5,90032.94
10.7,82571.9
5.4,56735.94
4.4,42955.46
5.2,58724.95
4.5,61968.22
15.8,109637.95
7.7,84504.27
2.1,45636.34
19.4,144944.64
17.8,122637.32
18.6,139136.2
19.9,130714.53
4.3,60771.98
8.5,78124.71
15.4,119126.01
14.2,98695.24
3.9,44289.44
16.5,125527.83
5.3,51563.22
5.3,62855.65
11.2,80662.9
12.3,104435.39
12.0,86139.81
2.7,49268.4
17.7,132355.05
6.0,57425.83
3.5,53906.21
17.9,130533.54
19.2,131289.27
17.4,117631.56
16.4,104498.99
13.4,106497.2
11.5,80731.58
2.7,45612.75
8.8,76292.41
8.1,79983.14
5.9,60033.64
14.7,108214.42
10.4,93054.97
2.5,46430.46
5.2,61129.25
14.0,110754.14
2.4,30915.42
17.2,130654.31
10.4,92099.75
10.1,77416.53
12.3,95697.36
16.7,121535.54
7.6,70724.03
13.9,109120.88
11.7,105800.93
6.1,72204.13
17.7,116852.25
16.2,124076.56
13.5,114881.47
17.2,127694.47
17.5,134977.84
14.5,125848.16
16.9,131139.68
14.3,110644.47
13.9,114810.71
12.8,101559.1
15.3,114341.22
4.0,49188.69
17.7,139857.31
17.6,120252.57
1.6,51058.94
16.7,125848.91
3.4,37505.55
7.4,73641.19
15.1,96249.79
4.1,57554.06
16.5,127831.85
16.8,117661.15
10.6,89288.38
1.1,51683.26
6.5,61704.03
12.7,91378.74
19.6,149653.31
13.0,117200.7
5.9,62479.57
13.0,109591.7
11.3,102881.81
15.8,110960.13
3.0,42617.55
15.5,125097.0
11.3,105630.11
19.3,140653.05
7.5,64211.49
13.0,117396.49
18.7,128602.23
2.9,43268.9
18.8,136138.7
14.1,119983.28
2.3,49481.81
6.7,70168.92
14.5,113456.31
2.3,42998.12
12.1,101015.12
7.6,51563.52
12.8,98027.14
1.9,42380.58
17.6,117591.89
19.5,140340.59
19.4,135064.23
15.2,127643.81
3.5,61834.16
15.4,110973.56
1.5,37043.3
1.4,37108.42
7.1,65436.72
10.3,88210.2
15.6,109733.74
14.0,97955.08
9.5,87231.69
6.2,69136.24
19.9,133015.47
9.1,87212.84
9.6,77747.38
4.1,54575.32
16.1,125112.75
14.2,107831.1
5.2,62237.93
2.6,40168.56
13.9,104878.27
13.4,102053.12
6.2,58127.37
19.1,133635.81
3.9,39061.05
9.2,76670.77
18.9,131671.0
9.0,77450.56
13.1,100118.02
8.6,76805.89
6.2,67935.53
19.7,145346.14
8.8,73201.88
18.0,119374.39
5.4,51363.64
5.0,53602.38
1.6,35984.63
13.4,97540.03
8.0,63631.07
17.4,122051.03
10.0,86451.41
19.4,141460.24
4.5,50290.62
17.5,122946.02
15.8,109486.41
15.6,115548.49
17.1,117262.57
15.5,119835.02
12.9,86663.07
3.5,46372.96
1.6,41208.86
18.5,133220.68
12.7,121394.27
16.1,121348.4
10.1,77517.56
3.2,46836.29
3.4,34490.03
14.0,106355.2
9.2,73935.55
4.8,63723.12
10.3,82253.68
2.2,41165.87
12.1,91465.54
6.1,77460.81
16.2,116530.06
6.9,82610.46
9.6,89313.21
1.2,40456.53
2.4,46149.87
8.5,79900.38
10.1,70128.62
12.4,95968.93
6.5,72511.26
14.2,107708.82
17.3,113908.48
15.8,116480.76
1.8,53532.84
10.1,95525.13
3.0,46003.97
5.6,68411.59
19.7,135417.94
3.7,36719.03
10.5,80354.27
12.7,112353.11
14.3,106458.06
11.6,91852.93
1.2,34201.29
7.2,84833.09
10.8,102407.67
2.7,62600.24
7.7,71077.64
1.6,41165.0
2.5,31616.86
8.5,88565.48
3.5,39907.76
11.8,96634.2
14.1,98771.58
16.2,114389.07
4.8,49701.9
4.2,48237.0
3.0,42187.02
13.1,97663.85
14.4,115866.67
1.6,29961.1
18.8,135164.33
2.0,50743.67
11.3,88044.43
14.5,104006.65
17.5,124405.8
14.6,119737.8
16.2,120652.86
7.4,66450.29
16.5,124621.01
2.5,34931.66
18.0,134450.88
11.4,95968.86
16.5,118287.53
9.6,76091.31
13.2,95506.55
11.0,94778.54
14.9,121781.84
2.6,39201.54
2.1,45217.09
5.7,44653.78
4.0,47323.06
17.6,126551.53
5.2,51322.53
19.5,129757.95
7.4,65357.76
4.5,57087.54
16.0,116501.37
13.5,86344.15
10.5,70784.4
11.6,88945.08
14.7,114511.49
5.3,37169.96
19.9,135452.16
19.5,133040.02
13.4,114806.7
4.8,53319.83
13.9,109513.91
2.4,44330.06
1.6,21755.47
5.9,68595.66
9.8,85623.17
17.5,130316.15
14.8,142809.9
15.1,96377.1
9.1,93847.57
7.6,69500.42
8.0,76298.63
19.8,138535.9
1.8,36506.11
17.5,121691.34
12.0,98636.07
9.3,69012.61
14.8,117404.63
10.2,82770.44
17.6,117759.45
18.1,125949.9
9.0,89557.19
6.3,60367.32
12.3,100517.63
18.3,124802.35
5.0,63563.37
12.8,105884.06
13.0,116288.87
14.9,110545.49
3.5,54599.24
14.6,111084.54
18.3,141016.97
4.4,48449.34
5.5,66210.04
19.5,135692.42
4.4,53686.49
17.2,125334.02
10.4,89217.92
5.7,60420.17
17.5,127967.71
9.5,94874.94
10.8,97283.6
7.8,79853.24
12.3,94005.68
4.1,45436.07
8.4,83842.4
19.4,143708.37
5.9,74231.37
13.5,99418.15
7.2,67763.61
15.7,103234.13
3.5,46110.23
19.4,144672.56
9.6,79068.04
5.5,65373.84
2.4,41675.98
4.2,55692.46
10.9,80768.47
7.4,71381.68
16.7,97920.91
9.2,79104.83
5.7,48306.21
12.7,109497.96
14.4,115419.26
4.2,56833.37
4.2,65268.05
1.7,31758.67
15.0,126478.91
13.6,112257.53
10.0,83107.56
17.0,132584.96
16.3,110799.65
12.1,89953.89
17.5,121381.28
4.9,52718.18
3.1,38597.54
6.1,73334.66
2.1,39479.16
11.1,93870.04
18.8,128837.19
1.7,24785.17
3.3,50310.46
9.6,67501.96
18.7,132300.93
7.0,57553.48
10.6,104198.21
1.8,47190.9
3.8,51746.03
19.7,148459.65
19.3,129379.47
1.1,40397.84
19.1,136648.48
13.1,104162.16
17.5,136428.83
9.6,88659.94
10.8,91709.79
10.3,73410.9
13.7,97669.63
3.7,49368.33
1.6,39546.98
6.9,58908.37
14.4,128493.41
4.8,68531.15
13.8,110716.95
19.4,137276.29
2.8,43702.33
13.8,98284.65
9.4,82319.84
17.5,128312.02
4.4,44265.92
14.2,110773.41
16.9,121707.93
18.9,118687.54
14.0,100116.92
10.4,83891.16
12.7,114951.5
17.5,130702.42
11.8,84216.15
1.6,42688.29
18.7,120471.57
14.1,116211.53
13.9,102681.0
5.1,57300.91
13.5,114856.37
8.5,66452.69
13.4,92523.05
3.0,41831.21
13.5,112557.03
20.0,127845.23
1.9,17792.76
19.6,134190.73
8.7,82263.93
17.5,135852.09
15.9,113744.71
11.8,91608.59
15.0,121731.21
17.7,112392.07
8.7,74741.83
7.2,71123.39
13.7,108943.75
16.3,115571.55
15.5,115525.53
16.2,99193.38
9.3,75884.01
16.5,124378.07
3.3,40291.65
11.3,92621.87
1.1,39624.98
7.2,66859.61
8.0,75363.71
8.5,69048.14
14.2,106447.11
8.4,81081.73
9.5,83505.78
5.5,55557.75
8.1,76343.73
5.3,64866.88
2.4,26800.47
12.5,108022.59
13.7,102659.96
12.8,103803.92
9.8,93477.98
8.2,64126.61
17.4,120024.47
10.9,87641.61
10.1,79279.97
1.5,52129.49
7.5,64395.82
8.2,70655.63
8.6,78935.11
12.0,86382.8
11.1,87884.55
12.6,101839.63
15.5,112587.12
16.4,119452.91
14.6,106065.34
19.2,123484.24
1.3,39722.75
4.7,69889.46
1.1,36197.21
13.3,104952.11
18.1,135091.78
5.6,50645.36
18.6,145920.12
2.1,43168.63
18.8,146454.86
7.7,66485.74
2.9,60494.5
10.2,92301.24
5.9,66874.32
6.4,67072.2
6.8,65411.77
16.3,129254.25
11.2,92722.88
6.9,52213.44
12.6,90362.51
14.6,108813.23
6.2,66579.99
8.9,78497.29
3.3,57901.77
4.4,38591.19
13.9,107598.7
4.4,39656.17
11.0,96577.7
14.5,108994.33
3.0,49856.88
11.8,87988.94
5.9,72685.72
19.3,144483.8
10.2,90768.35
16.3,118613.86
11.5,97888.86
1.8,34244.86
13.0,108344.45
19.1,148245.85
12.4,106764.88
16.6,115463.18
